id,name,address,city,derived_suburb,state,country,booking_url,city_looks_like_street
8743f855-cda9-4da0-aabc-d4dcdb9fb371,"Greensborough Tennis Club","1 Diamond Creek Rd, Greensborough VIC","Greensborough","Greensborough","VIC","Australia","play.tennis.com.au/court-hire/GreensboroughTennisClubEast",false
79c7ece6-b303-4086-a0ca-a25b86c4388b,"Greystanes Sportsground Tennis","Merrylands Rd, Greystanes NSW 2145","Merrylands Rd","Merrylands Rd","NSW","Australia","https://play.tennis.com.au/greystanessportsgroundtenniscourts/Booking/BookByDate",true
a229e5b6-cc47-46e1-93b5-55eb1db85cba,"Gunyama Park Synthetic Sportsfield","Zetland Avenue, Zetland NSW 2017","Zetland","Zetland","NSW","Australia","https://www.cityofsydney.nsw.gov.au/venues-facilities/gunyama-park",false
c35ece08-76a3-459b-8e3c-39022ed45c1f,"Gunyama Park Synthetic Sportsfield (Zetland)","17 Zetland Ave, Zetland NSW 2017","17 Zetland Ave","17 Zetland Ave","NSW","Australia","https://cityofsydneyleisure.perfectmind.com/38044/OtherApps/BookMe4FacilityList/List?calendarId=5f78fff4-a926-41b3-8998-632fde89d9ad&embed=False&singleCalendarWidget=true&widgetId=889c326a-7987-4959-b068-08d67fb1ead2",true
5ec0f40c-13f6-485b-ad43-45413161df58,"Haberfield Tennis Centre","Dobroyd Parade, Haberfield NSW 2045","Haberfield","Haberfield","NSW","Australia","https://www.haberfieldtennis.com.au/",false
5088d962-cb98-4390-a4cd-718dba4ab70e,"Haberfield Tennis Centre “The Ark” – Pickleball","154A Hawthorne Pde, Haberfield NSW 2045","154A Hawthorne Pde","154A Hawthorne Pde","NSW","Australia","https://www.tennisvenues.com.au/booking/haberfield-tc",true
0907731b-3713-49c1-83e5-5ed412cd4d9a,"Hamlyn Park Tennis Club (Geelong)","22 Carey St, Hamlyn Heights VIC 3215","22 Carey St","22 Carey St","VIC","Australia","https://portal.bookcourt.com.au",true
4f4688f4-ca25-4585-badc-efb9cfc4fef2,"Hamlyn Park Tennis Club (Geelong)","Hamlyn Park, Calvert St, Hamlyn Heights VIC 3215","Calvert St","Calvert St","VIC","Australia","https://portal.bookcourt.com.au/court-bookings/hamlyn-park-tennis-club",true
96699c20-ff9a-4287-8001-11d4c6c564c7,"Hampton Tennis Club","5 Grenville St, Hampton VIC 3188","5 Grenville St","5 Grenville St","VIC","Australia","https://www.tennisvenues.com.au/booking/hampton-tennis-club",true
de74e290-b928-464c-9a3c-85a0174a9ec2,"Heffron Park Tennis Centre (Matraville)","417–439 Bunnerong Rd, Matraville NSW 2036","417–439 Bunnerong Rd","– Bunnerong Rd","NSW","Australia","https://play.tennis.com.au/heffronparktenniscentre",true
fcd9bd4c-219f-4dfc-8595-1db9e5979358,"Henley Park Synthetic Field (Enfield)","Shelley St, Enfield NSW 2136","Shelley St","Shelley St","NSW","Australia","https://www.burwood.nsw.gov.au/Community/Sport-and-Recreation/Henley-Park",true
760a69b8-4db2-455a-bbf8-88a15c66db7f,"Hensley Athletic Field","Dunc Gray Velodrome, Bass Hill NSW 2197","Bass Hill","Bass Hill","NSW","Australia","https://www.bankstown.nsw.gov.au/hensley-field",false
881f8641-bf4b-4750-9d93-876f78acc09d,"Home of the Matildas – State Football Centre","La Trobe Sports Precinct (Sports Dr), Bundoora VIC","La Trobe Sports Precinct (Sports Dr)","La Trobe Sports Precinct (Sports Dr)","VIC","Australia","https://www.footballvictoria.com.au/",true
d95a2691-bd43-4564-95fe-be1d8f995b26,"Howick Squash","41 Meadowland Drive, Manukau, 2014","Manukau","Manukau","","Australia","https://meadowlands.helloclub.com/",false
f46be433-fb8e-4179-a933-81fbb09c0292,"Hume Tennis & Community Centre","225 Marathon Blvd, Craigieburn VIC 3064","225 Marathon Blvd","Marathon Blvd","VIC","Australia","https://play.tennis.com.au/HumeTennisCommunityCentre",true
